Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate,Source_File
SLC30A2,0.03,0.0003,1.1457,1.6622,1.38,0.0116,0.8405,1.9449,1.8,0.0138,0.7651,1.9171,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLC4A3,0.56,0.0084,1.4935,46.5616,26.21,0.2292,0.8746,49.0727,34.47,0.2793,0.8101,49.0604,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLC52A1,0.01,0.0001,0.9465,0.9735,0.86,0.0067,0.7829,1.1865,1.14,0.0084,0.7392,1.1891,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLC5A7,0.64,0.0138,2.1488,86.1048,23.53,0.2919,1.2404,88.0307,30.21,0.3465,1.1472,88.2353,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLFN14,0.03,0.0003,1.0066,1.8152,1.51,0.0117,0.7757,2.1345,2,0.0145,0.726,2.1282,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMAD2,1.44,0.0299,2.0785,170.1096,55.38,0.6821,1.2317,171.8141,71.36,0.8169,1.1447,171.6529,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMAD6,0,0,1.8671,0.017,0.01,0.0002,1.8671,0.0217,0.01,0.0002,1.401,0.0167,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMAD9,0.11,0.0012,1.1655,7.3841,5.48,0.0429,0.7835,8.2023,7.3,0.0542,0.7425,8.2517,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMARCA2,1.14,0.022,1.9316,127.8968,46.12,0.5194,1.1262,130.4886,60.12,0.6338,1.0543,130.8665,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMARCA5,1.97,0.0486,2.4649,318.3859,67.31,1.0636,1.58,326.644,85.74,1.2802,1.4932,327.7637,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMARCC1,1.31,0.0259,1.9727,164.0689,54.23,0.658,1.2135,172.5617,70.8,0.8122,1.1471,173.5311,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMARCC2,1.77,0.0408,2.309,256.0826,64.51,0.9311,1.4433,264.9699,82.85,1.1289,1.3625,265.9506,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMC3,1.8,0.0417,2.3211,262.404,65.09,0.9497,1.459,267.7708,83.44,1.1472,1.3749,268.4401,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMCHD1,1.34,0.026,1.9315,172.0098,57.83,0.7316,1.2651,185.5423,75.24,0.8998,1.1959,186.256,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMO,0.01,0.0001,1.4543,0.4931,0.36,0.0034,0.9275,0.5038,0.48,0.0043,0.888,0.5057,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SNAP25,2.37,0.0649,2.7324,458.2621,69.52,1.2242,1.7609,473.9109,86.26,1.428,1.6556,475.6616,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SNCA,2.78,0.0811,2.9169,521.8917,70.24,1.3306,1.8944,515.3556,85.78,1.5282,1.7816,516.1924,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SNRNP200,0.9,0.016,1.769,83.2056,38.6,0.3854,0.9985,83.87,50.41,0.4665,0.9254,83.6843,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SOCS1,0.02,0.0003,1.4978,1.2796,0.83,0.0059,0.714,1.2027,1.1,0.0072,0.6562,1.2003,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SOD1,2.57,0.0732,2.8453,490.1746,68.49,1.2505,1.826,493.0892,84.91,1.4632,1.7231,495.4713,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SOS1,0.95,0.0155,1.6382,95.8014,43.67,0.4564,1.0453,103.1784,57.22,0.5613,0.9809,103.383,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SOS2,0.76,0.012,1.5781,67.0602,34.54,0.3324,0.9623,69.8384,45.34,0.4073,0.8984,69.8203,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SOX17,0,0,0.8306,0.0043,0,0,0.8306,0.0054,0.01,0,0.8306,0.0056,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SOX6,0.09,0.0012,1.2657,7.0142,4.79,0.0403,0.8427,7.7634,6.29,0.0489,0.777,7.7239,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SPEN,1.16,0.0205,1.7678,139.8847,52.93,0.6179,1.1673,153.9956,69.63,0.7744,1.1123,155.1939,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SPI1,0,0,1.1582,0.2763,0.21,0.0014,0.6588,0.2871,0.28,0.0019,0.6588,0.2945,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SPTBN1,3.38,0.1111,3.2874,1035.3152,81.1,2.0166,2.4867,1122.8214,95.84,2.3102,2.4106,1129.1942,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SPTBN2,0.59,0.0087,1.4788,50.4131,28.15,0.2518,0.8945,54.2953,37.15,0.3117,0.8391,54.4782,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SPTLC2,0.63,0.0096,1.5273,53.8777,28.96,0.2599,0.8976,56.0885,38.2,0.3208,0.8398,56.223,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SQSTM1,0.82,0.0143,1.7363,75.3497,34.6,0.3246,0.9383,75.1206,45.52,0.399,0.8764,75.3826,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SRC,0.18,0.0025,1.4114,12.2813,8.19,0.063,0.7689,12.2601,10.9,0.0794,0.728,12.3248,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SRCAP,0.04,0.0005,1.2287,2.9162,2.26,0.0189,0.835,3.2018,2.97,0.0229,0.7712,3.1729,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SSBP1,1.55,0.0345,2.2243,192.113,54.85,0.6901,1.2582,188.2836,70.44,0.8214,1.1661,188.3065,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
STAT1,0.37,0.0056,1.4937,28.3289,16.63,0.1327,0.7979,28.0415,21.84,0.1591,0.7285,27.9337,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
STAT3,0.83,0.0139,1.6841,76.1659,36.66,0.3642,0.9934,78.5066,47.81,0.4391,0.9184,78.2665,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
STAT6,0.06,0.0006,1.0262,4.1023,3.27,0.0238,0.7264,4.7458,4.38,0.0305,0.6969,4.7955,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
STIM1,0.18,0.0022,1.2037,13.242,9.39,0.0692,0.7377,14.568,12.5,0.0872,0.6975,14.6642,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
STT3A,0.47,0.007,1.4687,37.4857,22.21,0.1905,0.8578,39.0989,29.41,0.2371,0.8061,39.2305,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
STX1B,0.91,0.0172,1.8903,81.3607,35.55,0.3411,0.9594,76.41,46.2,0.4036,0.8736,75.9827,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SUFU,0.06,0.0008,1.4573,3.8897,2.67,0.0208,0.7779,3.8411,3.54,0.0258,0.7278,3.8397,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SYT2,0.64,0.0109,1.7103,70.8053,27.7,0.2671,0.9644,75.1964,36.37,0.3275,0.9004,75.7104,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TANC2,1.14,0.0203,1.783,133.0108,51.18,0.5916,1.1559,144.791,66.79,0.7266,1.0878,145.2085,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TARDBP,1.18,0.0242,2.0491,108.3845,42.79,0.4533,1.0595,97.154,55.03,0.5279,0.9592,96.0481,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TBK1,0.58,0.0085,1.4653,49.0442,27.67,0.2509,0.907,52.177,36.43,0.3088,0.8475,52.1832,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TBXA2R,0.01,0.0001,1.323,0.3826,0.32,0.0026,0.8053,0.4388,0.42,0.0032,0.7637,0.439,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TCF3,0.14,0.0016,1.195,9.4968,6.91,0.0531,0.7689,10.391,9.2,0.0669,0.727,10.4467,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TCF7L2,0.51,0.0129,2.5529,71.5663,15.69,0.2527,1.6105,69.8763,19.72,0.2987,1.5148,69.8314,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TECTA,0.08,0.0012,1.4503,5.7899,3.7,0.0274,0.7409,5.656,4.91,0.0337,0.6877,5.6679,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TEK,0,0,1.4596,0.0553,0.04,0.0002,0.5943,0.0488,0.05,0.0003,0.5943,0.05,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TERC,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TERT,0,0,1.1446,0.2253,0.19,0.0015,0.7889,0.26,0.25,0.0019,0.7416,0.2612,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TET2,0.66,0.0105,1.5935,57.1,29.88,0.281,0.9405,58.651,39.12,0.3402,0.8698,58.4568,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TET3,0.68,0.0109,1.603,57.6313,30.29,0.2792,0.9218,58.3747,39.8,0.3416,0.8583,58.3623,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TGFB2,0.01,0.0002,1.3955,0.8077,0.57,0.0043,0.7488,0.8072,0.75,0.0053,0.6995,0.8057,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TGFBR2,0.02,0.0002,1.5045,1.0458,0.72,0.0061,0.8506,1.0619,0.94,0.0072,0.7628,1.0391,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
THBD,0,0,1.71,0.0425,0.02,0.0001,0.6142,0.0325,0.03,0.0002,0.6142,0.0333,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
THPO,0,0,0.9806,0.1275,0.11,0.0008,0.724,0.1463,0.14,0.001,0.724,0.15,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TIMP3,0.04,0.0006,1.3633,2.9672,2.29,0.0234,1.0209,3.3698,2.95,0.0273,0.927,3.2729,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TINF2,0.36,0.0055,1.5457,26.0674,15.58,0.1231,0.7901,25.0998,20.59,0.1509,0.7327,25.1109,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TLK2,0.72,0.0117,1.6128,63.7741,32.38,0.3038,0.9382,65.461,42.53,0.3718,0.8741,65.4749,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TMC1,0.02,0.0002,1.2573,1.1265,0.88,0.0071,0.8059,1.219,1.18,0.0091,0.7729,1.228,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TMEM43,0.35,0.0053,1.5096,25.8251,15.66,0.1299,0.8297,25.5494,20.76,0.1618,0.7793,25.6165,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TNFRSF1A,0.15,0.0019,1.2959,10.9082,7.1,0.0502,0.7079,11.3607,9.43,0.0622,0.6594,11.4191,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TNNC1,0,0,1.611,0.1913,0.12,0.0008,0.6547,0.1679,0.17,0.0011,0.6547,0.1723,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TNNI3,0.01,0.0001,1.594,0.4464,0.3,0.0023,0.7902,0.4226,0.4,0.0032,0.7902,0.4334,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TNNI3K,0,0,1.2657,0.1275,0.09,0.0007,0.7602,0.13,0.12,0.0007,0.5785,0.1222,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TNNT2,0.03,0.0004,1.0782,2.219,1.83,0.0141,0.7716,2.633,2.43,0.0178,0.7307,2.645,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TNPO3,0.7,0.012,1.7173,57.9417,28.98,0.2626,0.9062,55.6497,37.96,0.3167,0.8343,55.4728,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TOP2B,1.78,0.0408,2.2931,247.0152,64.48,0.9284,1.4397,252.0435,82.45,1.1146,1.3518,252.2477,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TOPORS,0.52,0.0077,1.4626,42.6124,24.35,0.2067,0.8489,44.056,32.31,0.2586,0.8006,44.2816,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TP63,0,0,1.3141,0.0638,0.05,0.0004,0.8023,0.065,0.06,0.0005,0.8023,0.0667,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TPM1,1.32,0.0267,2.0234,146.0232,51.15,0.596,1.1651,144.9915,66.15,0.7149,1.0807,144.7417,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TPM2,0.04,0.0006,1.5206,2.7207,1.7,0.0125,0.7336,2.6275,2.25,0.0152,0.6764,2.6283,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TPM3,2.37,0.0645,2.7186,418.6764,68.64,1.1774,1.7154,419.7023,85.84,1.3853,1.6138,420.9945,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TPM4,1.46,0.0309,2.1168,168.592,54.36,0.6572,1.209,166.3044,70.32,0.7921,1.1264,166.3407,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TRAF3,0.49,0.0079,1.6107,38.1021,21.08,0.1812,0.8596,36.7639,27.76,0.221,0.7962,36.6633,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TRAF7,0.35,0.0053,1.5011,26.4075,15.94,0.1248,0.7827,26.2592,20.99,0.1504,0.7168,26.1944,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TRIM8,0.98,0.0166,1.6939,98.8622,44.05,0.4622,1.0494,105.0258,58.01,0.5762,0.9934,105.6445,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TRPM3,0.64,0.0098,1.5354,65.9889,30.45,0.3034,0.9964,72.8235,40.03,0.3749,0.9365,73.1266,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TRPM7,0.53,0.0076,1.4505,42.1023,25.51,0.2376,0.9315,45.0908,33.44,0.2889,0.864,44.8317,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TRPV4,0,0,1.1375,0.0298,0.02,0.0002,0.7703,0.0325,0.03,0.0002,0.7703,0.0333,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TRRAP,0.6,0.0094,1.5601,49.5629,27.53,0.2563,0.931,51.0122,35.98,0.3086,0.8577,50.6996,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TSPAN12,0.02,0.0003,1.5432,1.4454,0.94,0.0078,0.8333,1.3544,1.24,0.0097,0.7822,1.3558,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TTR,0.01,0.0001,1.0068,0.6079,0.5,0.0035,0.7067,0.688,0.68,0.0047,0.6909,0.7001,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TUBA1A,10.37,0.4629,4.4642,6164.8706,98.23,3.9395,4.0104,6253.5801,99.68,4.0592,4.0723,6287.834,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TUBA4A,0.18,0.0026,1.4743,14.7128,7.94,0.0566,0.7135,14.9093,10.48,0.0681,0.6497,14.9309,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TUBB1,0,0.0001,2.3767,0.136,0.06,0.0005,0.9121,0.0813,0.08,0.0006,0.7923,0.0778,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TUBB2A,4.28,0.144,3.3678,1105.5382,81.18,2.0418,2.5153,1119.6737,94.32,2.2972,2.4354,1125.1488,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TUBB2B,5.81,0.2128,3.6618,1821.1285,87.44,2.5947,2.9674,1840.8444,96.95,2.8421,2.9316,1850.0575,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TUBB3,0.99,0.0179,1.8085,92.5239,40.56,0.4031,0.994,91.8339,53.16,0.4928,0.9271,92.0417,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TUBB4A,0.89,0.0155,1.7502,82.5212,37.62,0.3635,0.9662,83.4854,49.56,0.4497,0.9073,83.8788,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TUBB4B,1.73,0.0418,2.4099,253.9061,57.25,0.7972,1.3927,255.6516,73.36,0.9573,1.3051,257.0932,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
TUBG1,0.6,0.0097,1.6017,51.1528,26.24,0.2215,0.8441,51.1747,34.84,0.2778,0.7974,51.572,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
UBA2,1.35,0.0278,2.0666,142.6351,50.14,0.5682,1.1331,136.838,64.73,0.6745,1.0422,136.2566,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
UBTF,1.21,0.0232,1.9175,133.4359,49.73,0.5626,1.1311,136.4642,65.07,0.6935,1.0657,137.0123,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
UCHL1,6.52,0.2425,3.7165,2092.6467,89.52,2.6965,3.0121,2069.8142,96.96,2.8708,2.9608,2075.5718,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
UMOD,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
UNC93B1,0,0,1.328,0.0978,0.07,0.0008,1.0174,0.1084,0.09,0.0007,0.7998,0.1,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
VAPB,0.91,0.016,1.7586,84.4937,37.76,0.3622,0.959,83.7617,49.56,0.4423,0.8925,83.8955,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
VCAN,0.94,0.0184,1.9588,134.6985,40.79,0.5408,1.3256,149.3093,53.14,0.6701,1.2611,150.4207,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
VCL,0.37,0.0052,1.43,28.1079,17.12,0.141,0.8236,28.8975,22.67,0.175,0.7719,28.995,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
VCP,1.42,0.0297,2.0918,175.772,54.43,0.6713,1.2333,179.5775,70.66,0.8183,1.1581,180.2547,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
VPS35,1.82,0.0431,2.3734,279.5399,63.21,0.9304,1.472,287.9839,80.74,1.1179,1.3846,289.2222,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
VWF,0,0,0.467,0.0128,0.01,0.0001,0.467,0.0163,0.02,0.0001,0.467,0.0167,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
WASHC5,0.27,0.0044,1.6513,18.7683,11.07,0.09,0.8131,16.968,14.48,0.1066,0.7363,16.7869,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
WDR37,0.43,0.0069,1.6062,32.8265,18.53,0.1575,0.8495,31.5359,24.21,0.1863,0.7696,31.2288,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
WFS1,0.05,0.0006,1.1621,3.6984,2.84,0.0209,0.7337,4.1228,3.82,0.0272,0.7109,4.1787,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
WNT10A,0,0,1.5743,0.1318,0.09,0.0007,0.7325,0.1246,0.12,0.0009,0.7325,0.1278,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
WNT5A,0.01,0.0001,1.1457,0.7822,0.58,0.0045,0.7843,0.8831,0.78,0.0061,0.7843,0.9057,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
WRAP53,0.1,0.0015,1.4306,7.1247,4.79,0.0366,0.764,7.005,6.34,0.0449,0.709,7.0015,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
YARS1,0.96,0.0181,1.885,90.5174,37.37,0.371,0.9926,86.335,48.59,0.4423,0.9104,86.0793,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
YY1,1.31,0.0258,1.9698,171.2149,54.37,0.6666,1.2261,182.5139,71.12,0.8275,1.1635,183.9333,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ZBTB20,0.78,0.0121,1.5535,80.6295,38.18,0.412,1.0791,90.6745,50.43,0.5195,1.0301,91.286,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ZCCHC8,0.43,0.0063,1.4712,33.0816,20.02,0.1735,0.8666,33.9034,26.48,0.2154,0.8136,33.9572,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ZIC1,0.01,0.0001,1.2983,0.7524,0.52,0.0043,0.8193,0.7964,0.69,0.0052,0.7578,0.7946,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ZMIZ1,1.2,0.0225,1.8685,148.289,52.08,0.6084,1.1683,160.3613,68.47,0.7618,1.1126,161.8898,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ZMYND8,1.37,0.0272,1.9878,179.5894,56.87,0.7265,1.2775,192.1572,73.59,0.8834,1.2004,192.7074,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ZNF292,1.61,0.0356,2.211,269.9028,65.82,0.9964,1.5138,298.5916,85.17,1.2336,1.4485,301.1025,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ZSWIM6,0.55,0.007,1.2631,49.3418,28.32,0.2419,0.8543,56.3865,37.88,0.3113,0.822,57.1454,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
